sample_id,system,affordance,prompt,kld,sim,nss
beat_0,flux_schnell,beat,a person beating a drum,0.690555,0.514741,0.935823
beat_1,flux_schnell,beat,a person beating a drum,1.628239,0.249841,0.753138
beat_2,flux_schnell,beat,a person beating a drum,0.767024,0.493495,0.049880
beat_3,flux_schnell,beat,a person beating a drum,0.358764,0.694228,0.200822
beat_4,flux_schnell,beat,a person beating a drum,1.842634,0.199044,-0.153967
beat_5,flux_schnell,beat,a person beating a drum,1.185456,0.340728,0.606997
beat_6,flux_schnell,beat,a person beating a drum,2.289414,0.150834,0.083516
beat_7,flux_schnell,beat,a person beating a drum,0.790804,0.469842,0.908284
beat_8,flux_schnell,beat,a person beating a drum,1.300020,0.308533,0.531059
beat_9,flux_schnell,beat,a person beating a drum,1.583158,0.261398,0.554071
beat_10,flux_schnell,beat,a person beating a drum,1.276754,0.321594,0.968173
beat_11,flux_schnell,beat,a person beating a drum,1.895263,0.195765,0.309414
boxing_0,flux_schnell,boxing,a person boxing a punching bag,1.890924,0.210115,0.629371
boxing_1,flux_schnell,boxing,a person boxing a punching bag,1.213463,0.343551,1.066380
boxing_2,flux_schnell,boxing,a person boxing a punching bag,1.236128,0.318141,0.552201
boxing_3,flux_schnell,boxing,a person boxing a punching bag,1.297801,0.331165,1.337055
boxing_4,flux_schnell,boxing,a person boxing a punching bag,1.387575,0.319584,1.039667
boxing_5,flux_schnell,boxing,a person boxing a punching bag,1.221017,0.335621,0.418999
boxing_6,flux_schnell,boxing,a person boxing a punching bag,0.886725,0.438929,0.467445
boxing_7,flux_schnell,boxing,a person boxing a punching bag,0.608557,0.563276,0.998242
boxing_8,flux_schnell,boxing,a person boxing a punching bag,1.343587,0.319394,1.239242
boxing_9,flux_schnell,boxing,a person boxing a punching bag,1.111135,0.359811,-0.006856
boxing_10,flux_schnell,boxing,a person boxing a punching bag,1.257621,0.330691,0.486520
boxing_11,flux_schnell,boxing,a person boxing a punching bag,1.227000,0.346076,1.213419
boxing_12,flux_schnell,boxing,a person boxing a punching bag,2.225330,0.173793,0.562453
boxing_13,flux_schnell,boxing,a person boxing a punching bag,0.484942,0.622839,1.001711
boxing_14,flux_schnell,boxing,a person boxing a punching bag,1.068642,0.403945,1.120999
boxing_15,flux_schnell,boxing,a person boxing a punching bag,1.634063,0.255111,0.804012
boxing_16,flux_schnell,boxing,a person boxing a punching bag,1.524155,0.297438,0.914444
boxing_17,flux_schnell,boxing,a person boxing a punching bag,1.575266,0.252797,0.656722
boxing_18,flux_schnell,boxing,a person boxing a punching bag,1.490337,0.288381,0.858050
boxing_19,flux_schnell,boxing,a person boxing a punching bag,1.012410,0.395850,1.285068
boxing_20,flux_schnell,boxing,a person boxing a punching bag,1.213931,0.360836,1.123811
boxing_21,flux_schnell,boxing,a person boxing a punching bag,1.897739,0.203146,0.133676
